Details;Sampleno;Sampling year;Grain size micron;Longitude;Latitude;Elevation;Coordinate method;Collector;Treatmentyears;Laboratorynames;SiO2 wt%;TiO2 wt%;Al2O3 wt%;Fe2O3t wt%;Fe2O3 wt%;MnO wt%;MgO wt%;CaO wt%;Na2O wt%;K2O wt%;P2O5 wt%;Sum wt%;L.o.i. wt%;FeO wt%;Ag ppm;Al %;As ppm;Ba ppm;Be ppm;Bi ppm;Ca %;Cd ppm;Co ppm;Cr ppm;Cu ppm;Fe %;Hf ppm;K %;Li ppm;Mg %;Mn ppm;Mo ppm;Na %;Nb ppm;Ni ppm;P %;Pb ppm;Rb ppm;S %;Sb ppm;Sn ppm;Sr ppm;Ta ppm;Th ppm;Ti %;U ppb;V ppm;W ppm;Zn ppm;Zr ppm;Sc ppm;Y ppm;La ppm;Ce ppm;Au ppb;Br ppm;Cs ppm;Hg ppm;Ir ppb;Se ppm;U ppm;Nd ppm;Sm ppm;Eu ppm;Tb ppm;Yb ppm;Lu ppm;Pd ppb;Pt ppb;Ga ppm;Ge ppm;In ppm;Tl ppm;Pr ppm;Gd ppm;Dy ppm;Ho ppm;Er ppm;Tm ppm;Mn %;S ppm;Au ppm;Ir ppm;Sn %;Sr %;B ppm;Pd ppm;Pt ppm;Re ppm;Te ppm;Si %;Fe ppm;Cl %;geo_magnetic_anomaly nT;geo_heat_flow mW/m2;geo_depth_to_moho km
Link;100249;1971;0-150;-24.1484;72.15121;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.022276394711152253;;;;1.1139433523068367;0.5352941200427705;;0.5132176000679389;;;2.7126497016272113;;;;;;1.6127838567197355;;;;;;;;-0.28399665636520083;;1.662757831681574;;1.9084850188786497;;;;;;;;;;;;0.6532125137753437;;;;;;;;;1.0413926851582251;;;;;;;;;;;;;;;;;;;;;;;;-217.63604736328125;46.35755;22.9
Link;100250;1971;0-150;-24.15249;72.15277;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.07572071393811836;;;;1.146128035678238;0.5390760987927766;;0.4424797690644486;;;2.6748611407378116;;;;;;1.6434526764861874;;;;;;;;-0.14266750356873156;;1.3222192947339193;;1.8129133566428555;;;;;;;;;;;;0.9395192526186185;;;;;;;;;1.146128035678238;;;;;;;;;;;;;;;;;;;;;;;;-214.3234405517578;46.35755;22.9
Link;100251;1971;0-150;-24.15117;72.155;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.08092190762392612;;;;1.0791812460476249;0.5453071164658241;;0.5024271199844327;;;2.6989700043360187;;;;;;1.6127838567197355;;;;;;;;-0.25181197299379954;;1.6020599913279623;;1.845098040014257;;;;;;;;;;;;0.724275869600789;;;;;;;;;0.9030899869919435;;;;;;;;;;;;;;;;;;;;;;;;-212.63804626464844;46.35755;22.9
Link;100252;1971;0-150;-24.15246;72.15758;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.07572071393811836;;;;1.2787536009528289;0.5327543789924978;;0.41161970596323016;;;2.670245853074124;;;;;;1.6232492903979006;;;;;;;;-0.16115090926274472;;;;1.806179973983887;;;;;;;;;;;;0.7781512503836436;;;;;;;;;1.146128035678238;;;;;;;;;;;;;;;;;;;;;;;;-212.63804626464844;46.35755;22.9
Link;100253;1971;0-150;-24.15244;72.16116;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.017728766960431602;;;;1.2787536009528289;0.5428254269591799;;0.456366033129043;;;2.708420900134713;;;;;;1.5797835966168101;;;;;;;;-0.07572071393811836;;1.8920946026904804;;1.8750612633917;;;;;;;;;;;;0.9956351945975499;;;;;;;;;1.2041199826559248;;;;;;;;;;;;;;;;;;;;;;;;-211.319580078125;46.35755;22.9
Link;100254;1971;0-150;-24.15359;72.16173;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.06550154875643228;;;;1.0;0.5563025007672873;;0.5092025223311029;;;2.693726948923647;;;;;;1.4771212547196624;;;;;;;;-0.3010299956639812;;1.6232492903979006;;1.8573324964312685;;;;;;;;;;;;0.43136376415898736;;;;;;;;;1.0413926851582251;;;;;;;;;;;;;;;;;;;;;;;;-207.36610412597656;46.35755;22.9
Link;100256;1971;0-150;-24.15159;72.16735;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.060480747381381476;;;;1.0413926851582251;0.5198279937757188;;0.48429983934678583;;;2.658964842664435;;;;;;1.5314789170422551;;;;;;;;-0.2924298239020636;;1.414973347970818;;1.8129133566428555;;;;;;;;;;;;0.4913616938342727;;;;;;;;;0.8450980400142568;;;;;;;;;;;;;;;;;;;;;;;;-207.49545288085938;46.35755;22.9
Link;100257;1971;0-150;-24.14914;72.16791;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.12493873660829995;;;;1.0;0.5132176000679389;;0.4983105537896005;;;2.6242820958356683;;;;;;1.462397997898956;;;;;;;;-0.2596373105057561;;;;1.792391689498254;;;;;;;;;;;;0.6720978579357175;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;-207.49545288085938;46.35755;22.9
Link;100258;1971;0-150;-24.14772;72.17079;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.10790539730951958;;;;0.8450980400142568;0.5024271199844327;;0.4668676203541095;;;2.6009728956867484;;;;;;1.5440680443502757;;;;;;;;-0.28399665636520083;;;;1.8195439355418688;;;;;;;;;;;;0.5314789170422551;;;;;;;;;0.8450980400142568;;;;;;;;;;;;;;;;;;;;;;;;-208.0960693359375;46.35755;22.9
Link;100259;1971;0-150;-24.14275;72.17276;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.03342375548694973;;;;0.6989700043360189;0.5118833609788743;;0.45939248775923086;;;2.6483600109809315;;;;;;1.505149978319906;;;;;;;;-0.18708664335714442;;1.2304489213782739;;1.7558748556724915;;;;;;;;;;;;0.7403626894942439;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;-210.8592071533203;46.35755;22.9
Link;100260;1971;0-150;-24.13323;72.17544;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.07918124604762482;;;;1.0413926851582251;0.5078558716958309;;0.41664050733828095;;;2.6570558528571038;;;;;;1.505149978319906;;;;;;;;-0.2006594505464183;;1.0;;1.6989700043360187;;;;;;;;;;;;0.7923916894982539;;;;;;;;;0.9542425094393249;;;;;;;;;;;;;;;;;;;;;;;;-211.39901733398438;46.35755;22.9
Link;100261;1971;0-150;-24.09656;72.19215;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.1903316981702915;;;2.797959643737196;2.8488047010518036;0.2380461031287954;;0.4578818967339923;;;3.151676230847048;;;;2.2810333672477277;;3.616265405281708;;;;;;;;0.47856649559384334;;3.3382572302462554;;4.867809132005173;;;;;;;;;;;;0.25527250510330607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-211.4219207763672;46.35755;23.0
