Sample number;Sampling year;Rock description;Link to report;Collector;Batch;Longitude;Latitude;Laboratory;Treatment year;Sample preparation abbr;Analytical method abbr;SiO2 wt%;TiO2 wt%;Al2O3 wt%;Fe2O3 wt%;Fe2O3 wt%;FeO wt%;MnO wt%;MgO wt%;CaO wt%;Na2O wt%;K2O wt%;P2O5 wt%;C wt%;Li ppm;Be ppm;B ppm;S ppm;Cl wt%;Sc ppm;V ppm;Cr ppm;Co ppm;Ni ppm;Cu ppm;Zn ppm;Ga ppm;Ge ppm;As ppm;Se ppm;Br ppm;Rb ppm;Sr ppm;Y ppm;Zr ppm;Nb ppm;Mo ppm;Ru ppb;Rh ppb;Pd ppb;Ag ppm;Cd ppm;In ppm;Sn ppm;Sb ppm;Te ppm;I ppm;Cs ppm;Ba ppm;La ppm;Ce ppm;Pr ppm;Nd ppm;Sm ppm;Eu ppm;Gd ppm;Tb ppm;Dy ppm;Ho ppm;Er ppm;Tm ppm;Yb ppm;Lu ppm;Hf ppm;Ta ppm;W ppm;Re ppb;Os ppb;Ir ppb;Pt ppb;Au ppb;Hg ppm;Tl ppm;Pb ppm;Bi ppm;Th ppm;U ppm
353526;1989;Skarn;Link;Appel, Peter;59;-49.892042;64.741962;Copenhagen University Geology;1992;PWD;XRF;;;;;;;;;;;;;;;;;;0.02;-10000;-10000;-10000;-10000;-10000;-10000;-10000;-10000;-10000;;;-10000;-10000;-10000;-10000;-10000;-10000;-10000;;;;;;;-10000;;;-10000;-10000;-10000;-10000;-10000;;-10000;;;;;;;;;;;;;-10000;;;;;;;;-10000;;-10000;
353526;1989;Skarn;Link;Appel, Peter;55;-49.892042;64.741962;Bondar-Clegg and Co. Ltd.;1991;NON;INAA;;;;13.44;;;;;;0.4;;;;;;;;;30;;1500;94;910;;470;;;0;0;47;17;;;0;;13;;;;0;0;;0;0;0;;0;170;0;0;;;1.2;0;;0;;;;;0;0;0;0;891;;;0;;0;;;;;0;1.3
353526;1989;Skarn;Link;Appel, Peter;7;-49.892042;64.741962;GEUS Rock Geochemical lab;1990;NAF;AAS;;;;;;;;;;0.25;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353526;1989;Skarn;Link;Appel, Peter;7;-49.892042;64.741962;GEUS Rock Geochemical lab;1990;NAF;TIT;;;;;;6.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353526;1989;Skarn;Link;Appel, Peter;7;-49.892042;64.741962;GEUS Rock Geochemical lab;1990;NAF;XRF;47.06;0.31;9.35;;4.4;;0.57;7.02;22.59;;0.1;0.05;;;;;;;;182;1290;;791;;415;;;;;;29;407;;15;;;;;;;;;;;;;;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353526;1989;Skarn;Link;Appel, Peter;7;-49.892042;64.741962;GEUS Rock Geochemical lab;1990;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341450;1987;;Link;Knudsen, Christian;7;-50.109092;69.733205;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;4.13;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341450;1987;;Link;Knudsen, Christian;7;-50.109092;69.733205;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;2.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341450;1987;;Link;Knudsen, Christian;7;-50.109092;69.733205;GEUS Rock Geochemical lab;;NAF;XRF;74.79;0.4;12.86;;0.15;;0.04;0.64;0.59;;1.35;0.1;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341450;1987;;Link;Knudsen, Christian;7;-50.109092;69.733205;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
441037;1996;high-grade metamorphic chert sedimentary rock;Link;Birkedal, Nikolai;42;-43.761021;60.562531;Activation Laboratories Ltd.;1997;4AC;ICP;;0.8;15;;;;0.11;3.96;4.48;;2.49;0.1;;;2;;;;;173;;;35;36;129;;;;;;;156;19;;;0;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;0;;
441037;1996;high-grade metamorphic chert sedimentary rock;Link;Birkedal, Nikolai;10;-43.761021;60.562531;Activation Laboratories Ltd.;1997;NON;INAA;;;;9.26;;;;;9.79;1.74;;;;;;;;;30;;170;24;0;;168;;;54;0;0;190;0;;;;0;;;;0;;;0;0.2;;;7;660;32;69;;22;6.1;0.9;;1.1;;;;;2.7;0.5;6;0;0;;;0;;0;0;;;;10;3.5
408563;1993;high-grade metamorphic silicic medium-grained sedimentary rock;Link;Appel, Peter;10;-49.814059;65.182654;Activation Laboratories Ltd.;1993;NON;INAA;;;;21.3;;;;;0;0;;;;;;;;;47;;480;68;0;;135;;;0;0;0;0;0;;;;0;;;;0;;;0;0;;;0;0;5;11;;7;2.2;0.9;;0.5;;;;;1.6;0.3;3;0;-10000;;;0;;9;0;;;;0.8;0
289362;1981;ultramafic dyke in gneiss;Link;Steenfelt, Agnete;22;-52.873399;65.870587;Risø National Laboratory;1991;NON;XCD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289362;1981;ultramafic dyke in gneiss;Link;Steenfelt, Agnete;21;-52.873399;65.870587;Risø National Laboratory;1991;NON;DNC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1
289362;1981;ultramafic dyke in gneiss;Link;Steenfelt, Agnete;18;-52.873399;65.870587;Risø National Laboratory;1991;NON;XPU;;0;;9.39;;;0.13;;0.7;;0.02;;;;;;;;;0;3053;;2337;26;77;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
442065;1996;high-grade metamorphic medium-grained intermediate volcanic-sedimentary rock;Link;Ingemann, E.;42;-42.80435;60.99422;Activation Laboratories Ltd.;1996;4AC;ICP;;0.68;16.36;;;;0.14;5.54;6.3;;0.65;0.14;;;0;;;;;159;;;92;59;96;;;;;;;325;14;;;0;;;;0.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;
442065;1996;high-grade metamorphic medium-grained intermediate volcanic-sedimentary rock;Link;Ingemann, E.;10;-42.80435;60.99422;Activation Laboratories Ltd.;1996;NON;INAA;;;;7.66;;;;;7;3.91;;;;;;;;;20;;220;23;91;;89;;;14;0;0;0;0;;;;0;;;;0;;;0;1.9;;;1;400;12;20;;10;2.2;0.9;;0;;;;;1.4;0.3;3;0;0;;;0;;0;0;;;;0.8;0
304272;1982;;Link;Nyegaard, Per;22;-45.50871;60.90537;Risø National Laboratory;1999;NON;XCD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3021;92;93;51;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304272;1982;;Link;Nyegaard, Per;18;-45.50871;60.90537;Risø National Laboratory;1999;NON;XPU;;3.9;;4.12;;;0.21;;1.82;;2.93;;;;;;;;;7294;0;;106;195;87;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1006;;;
304414;1982;;Link;Holm, P. E.;22;-45.55815;60.736;Risø National Laboratory;1999;NON;XCD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;563;168;56;71;109;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304414;1982;;Link;Holm, P. E.;21;-45.55815;60.736;Risø National Laboratory;1999;NON;DNC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;492
